,ticker,volume
812,10A4,4433.916072842439
920,7RIP,4423.697621744054
381,VGVE,4421.468725257324
941,KLMH,4404.605015673981
54,FRC3,4375.42868338558
252,ETLX,4358.882818685669
112,9E0E,4346.557939914163
297,BJLE,4336.665129151292
63,LYQ3,4323.471372549019
367,AYED,4284.027484143763
930,PRAC,4271.128720836686
755,MWOE,4268.624213836478
767,XDWC,4258.186064924782
879,SP2Q,4241.111471861472
952,XSMC,4221.064976228209
157,XGUE,4215.6217440543605
843,IUHE,4214.5517841601395
204,UEF9,4214.0
776,XDEV,4199.732075471698
557,S0LR,4198.89774078478
530,EMA5,4176.5353634577605
638,SPYC,4171.68145800317
985,SC0X,4157.7836990595615
674,LCUJ,4139.428231562252
111,PR10,4138.337157987644
180,TRD3,4127.638954869359
482,DBXP,4115.1630094043885
685,XDNE,4084.3260188087775
792,XZWE,4077.720887245841
19,VGEM,4076.2058590657166
975,EXH6,4044.058777429467
895,WELD,4019.3368794326243
290,EXHB,4016.705329153605
661,MJMT,4004.5385214007783
372,VGWE,3991.300079176564
809,LYT6,3978.0348258706467
73,XSVT,3965.9200316706256
223,XGIU,3944.7727272727275
245,CSDA,3936.954954954955
642,SPYN,3922.4264591439687
293,EXHD,3875.4341692789967
577,IQQB,3847.582408874802
816,HNDX,3783.7953307392995
950,XESD,3783.39263322884
46,IBCA,3771.042834890966
436,V3AL,3721.332618025751
2,JMLP,3707.4167424931757
588,EL40,3706.1771159874606
211,TRFE,3698.0742778541953
214,TRD7,3695.826603325416
423,UKPH,3693.5606758832564
900,ZPAB,3691.8342151675483
826,WTEH,3682.5733333333333
881,XDEW,3662.1909667194927
913,SML3,3644.0015835312747
911,DX2Z,3638.406026962728
878,SML2,3615.9874776386405
428,XBO2,3589.6117647058823
37,VECP,3582.564641744548
564,LASP,3568.6560311284047
472,LHKG,3562.893536121673
254,CG1G,3550.2396887159534
893,WELI,3544.886524822695
838,RS2K,3521.287159533074
227,XG7U,3513.296120348377
540,A4HC,3478.875486381323
52,IBCN,3469.8294392523367
230,VLEU,3458.506614785992
725,XUCD,3450.7988915281076
478,WTEB,3441.099607843137
156,UET0,3435.004705882353
891,WELG,3412.145390070922
937,GN0M,3394.976833976834
57,LYQ7,3378.067450980392
899,XUEK,3369.9866771159873
651,XS7R,3366.5689655172414
47,SXRQ,3362.307210031348
267,EL4V,3328.449843260188
212,T3RE,3280.2751031636863
622,UIMY,3277.639498432602
963,SC0C,3277.3738244514107
686,XDNG,3272.500395882819
644,D5BL,3248.0172413793102
154,XZHY,3245.4851973684213
1003,EXIB,3239.751082251082
8,ABCH,3207.5118858954042
751,UBU5,3198.230769230769
523,BUG,3194.994784876141
191,SYBF,3194.254948535234
386,H41C,3179.8442844284427
739,XZMD,3177.3963691376703
1015,WTDH,3172.593032462391
723,XD9C,3167.6061806656103
379,CGB,3150.722570532915
957,VS0L,3133.5327564894933
237,PM9I,3097.9992082343624
269,EL4U,3094.378526645768
314,ELFA,3070.3942006269594
996,CBUN,3053.980769230769
31,A4H7,3047.084046692607
866,LYP7,3028.2420233463035
32,PSFE,3005.282131661442
264,ELF0,3001.2578369905955
636,SPYR,2992.6739299610895
470,GACA,2986.2992874109264
940,UBUD,2984.964314036479
474,FRNE,2959.156420233463
279,L8IF,2946.088715953307
110,EUN4,2916.6144859813085
695,LKOR,2913.9455252918287
135,ASRF,2894.279958677686
910,ZPRA,2883.783676703645
511,ZPR6,2856.421630094044
692,H4Z9,2810.633412509897
960,EL4Y,2785.8150470219434
338,FEUQ,2779.0126782884313
706,USUP,2759.598214285714
285,IUSL,2756.7790973871734
466,DBZB,2754.4827586206898
266,EL4S,2746.8800940438873
261,XDCH,2743.3639968279144
403,10AJ,2726.57131661442
228,GSDE,2701.3169781931465
183,SPPX,2700.8239492466296
181,SYBW,2670.628661916073
70,EUN6,2637.398753894081
749,4UBD,2609.221079691517
594,DBX1,2597.9152810768014
771,IS07,2568.9365203761754
477,FRNH,2553.5929961089496
956,SLNC,2545.6606606606606
1007,BCFE,2537.1543887147336
818,FKU,2529.114988104679
547,10AT,2512.136186770428
138,AHYH,2493.835978835979
163,XYLD,2493.3760886777513
453,VNRT,2472.003958828187
277,SPY2,2454.342042755344
144,XCO2,2445.224921630094
292,EXHC,2431.6097178683385
720,DBXU,2418.7814726840857
192,SYBN,2412.7046714172607
688,IUS4,2407.8392715756136
652,SPYH,2404.846692607004
488,IBCS,2396.1144859813085
195,IUST,2394.809825673534
148,LYXE,2392.686567164179
586,XMKA,2372.403647898493
620,18M2,2360.8070038910505
664,UIW1,2342.9128630705395
863,H4ZN,2309.262987012987
67,LYXD,2305.4280155642023
888,WELM,2302.4777975133215
690,JSRI,2283.0949019607842
265,EL4R,2240.800156739812
687,XDNU,2213.8178939034046
425,XGVC,2209.7072784810125
839,ETLZ,2186.780680918448
5,XB4A,2176.0352664576803
336,FYEM,2169.7115987460816
55,FRC4,2168.2515673981193
429,18M1,2129.421011673152
215,SPP3,2126.379255740301
584,LCHI,2117.84046692607
935,PRAW,2116.752642706131
922,ETLK,2105.5618066561015
48,IBCM,2098.9556074766356
207,T1OD,2098.1952554744526
457,6PSA,2091.297021943574
574,LSMC,2089.4377358490565
289,EXHA,2085.0869905956115
460,XT01,2073.607276119403
610,B8TI,2065.9043103448275
525,XFIN,2058.9491525423728
830,PM9J,2056.3871733966744
7,VBTC,2036.897810218978
136,XZHE,2025.7085987261146
801,4UB1,2011.2760683760685
53,EUN9,1988.3652647975077
510,ZPR5,1982.553882725832
829,LDCE,1971.844827586207
171,EUNQ,1962.633412509897
889,WELP,1869.3989361702127
851,5ESE,1862.8447837150127
762,DJAB,1862.7143968871596
454,V3YA,1854.0189655172414
332,IQQG,1829.3271028037384
458,FAHY,1825.4766429136976
550,SEAD,1778.273510971787
350,FLXU,1774.8675654242666
71,IS0L,1730.7941409342834
291,EXX6,1729.5987460815047
597,XMEA,1726.848772763262
405,H4Z7,1714.395
949,ETLI,1704.6302454473475
817,6PSQ,1697.6769596199524
702,SXR1,1663.2242472266244
827,PJSA,1656.7046714172604
235,PDSE,1639.1293103448277
585,ICNT,1637.496583143508
59,LYQ6,1623.835294117647
441,VJPE,1622.5978964401295
894,WELV,1620.7606382978724
927,VOOM,1610.1702127659576
378,AH50,1594.3612852664576
727,IQQ3,1565.405384006334
426,XZWG,1536.3986842105264
621,XZEZ,1534.059595959596
613,XD5D,1519.4766058683585
84,AYEH,1514.5907883082373
64,SYB4,1510.7648902821318
724,HPAU,1503.8319427890347
939,10AE,1499.228793774319
545,EM1C,1497.4109263657958
281,SXRU,1456.6315372424722
325,ZPRL,1456.2648902821318
522,02F0,1441.219319081552
486,DBXQ,1412.4059561128527
671,XAIN,1411.9353846153847
569,GENY,1404.093220338983
607,H41E,1398.940119760479
914,SMLX,1382.6896278701504
216,T7EU,1376.4209078404401
608,XU6C,1375.1253918495297
456,6PSK,1374.0238095238096
51,IBCL,1373.71261682243
100,B8TR,1373.5724465558194
62,DFOB,1369.0185185185185
82,SPFB,1350.8283582089553
578,XCS6,1350.153374233129
49,SYBV,1340.8871473354232
991,6TVL,1339.4521739130435
777,PAUD,1334.2916111850866
623,XMVE,1324.4498432601881
377,DBX9,1309.9825811559779
890,WELY,1307.3031914893618
710,DBX5,1306.1949286846275
1016,WTES,1269.4631828978622
832,XPPE,1249.6762523191094
614,LGQG,1249.2277227722773
166,XZBE,1247.7889105058366
654,SPYQ,1247.6412451361869
320,UIM1,1240.0925490196078
655,SPYK,1228.7743190661479
783,LYPE,1217.6054901960783
189,SYBU,1213.4473475851148
234,VALU,1212.9369649805446
6,BITC,1206.2316326530613
980,SC03,1205.8221003134797
18,XCMC,1202.9832041343668
919,XSLE,1202.4285714285713
709,H4ZU,1195.5930324623912
1018,WTEQ,1188.7498020585906
439,DE5A,1184.379766536965
375,IQQ9,1179.9270420301348
300,XU61,1158.9120879120878
837,18MR,1156.588326848249
718,H4ZD,1152.336507936508
982,SC0Y,1144.9059561128527
481,IUS6,1131.5093457943926
282,EXI3,1123.8064263322883
917,DX2S,1123.4385408406026
121,AHYC,1121.946957878315
283,DJAM,1112.7113725490196
575,540F,1106.4241245136186
306,XAMJ,1101.6774758983347
700,ENOA,1096.9395129615082
934,PRAE,1096.2790322580645
427,XZEG,1093.7524893314367
496,EL4P,1078.3550156739811
446,KX1G,1072.7564202334631
699,CN1G,1068.6747081712062
556,F701,1066.1974921630094
20,IS0S,1056.1268834258526
3,2TCE,1051.611370716511
417,ZSRL,1046.837354085603
626,LGWS,1043.4833333333333
418,XREA,1043.108934169279
773,WDNR,1035.3704280155641
921,ETLQ,1034.0285035629454
475,AHYE,1011.4731517509728
526,FTG2,1007.6848772763262
85,SPFU,1004.6343283582089
182,DJAD,1004.272373540856
108,V3RF,1001.263358778626
305,CETH,991.1256544502618
200,XUHE,984.725
873,XDPC,979.9104595879556
74,IS0K,979.193982581156
485,DBXG,976.5101880877743
16,CMOE,974.5156985871272
551,JP4H,965.060700389105
35,SYBC,946.9758754863814
465,XGVD,945.7029780564263
648,540H,942.9992217898832
1004,JPNH,942.8420233463034
744,4UB8,927.1925515055467
399,XUEE,924.1394769613947
186,SPP7,923.513084853291
656,XS8R,909.4459247648903
321,NK4B,900.3182897862233
624,LGWU,896.460396039604
268,EL4T,884.4435736677116
981,SC0T,878.2460815047021
968,E960,869.2092476489029
164,XYLE,855.9255485893417
658,DXSC,851.2186520376175
322,LYQ4,847.615993665875
788,LYPG,840.5694117647059
856,FLX5,837.6453965360073
394,V3ML,834.5888888888888
382,V3PA,832.9537037037037
431,CB3G,828.8964980544747
15,PCOM,818.4359313077939
1020,WTIZ,818.215360253365
546,JGHY,817.7981952420016
44,EUNR,816.9896907216495
872,8P10,808.5665610142631
126,XZE5,805.9472247497725
430,PJEU,804.1796078431372
125,LYEB,804.0166534496432
605,SPYX,797.0720506730008
455,PSWD,780.7584905660377
508,D5BE,780.4096671949287
122,LYQY,773.2277227722773
627,D6RA,770.3518987341772
23,SPFA,765.4095238095238
938,HYCN,753.295358649789
531,ASRN,750.3835820895522
667,ZPRW,749.5879556259905
538,JMBA,735.6843774781919
86,SPFV,733.4888059701492
493,EL4K,732.3675548589341
598,SBIM,724.1461187214612
822,BBCK,722.9325931800158
343,FLPE,711.0506666666666
983,SC06,702.2797805642633
604,XDEX,699.9279493269992
1014,WTD8,694.5281076801267
763,LWCR,685.7922077922078
104,ASRX,685.7276119402985
925,ES6Y,684.3681415929203
160,V3CE,677.574427480916
397,XUEB,673.1116708648195
737,EL4I,672.0133228840125
140,AHYB,668.9655712050078
799,H41G,668.031894934334
98,IS0Z,662.7426761678544
165,XZBU,643.0504672897197
158,V3CU,637.1315280464216
639,DXSK,632.0462382445141
401,CSYZ,625.7714285714286
549,JA13,624.9841646872526
541,10AL,623.9012539184953
898,ZPD9,615.480533926585
668,X13J,614.7120622568093
76,10AM,608.2617554858934
677,ZPDW,606.8706896551724
539,JPBM,601.5684877276326
932,ELFD,601.1363636363636
708,AMES,599.8941176470588
119,TCC4,595.2379182156134
244,ADAA,594.0363901018923
393,V3MA,576.8669131238447
349,C9DF,570.2306451612903
984,SC05,567.9310344827586
977,SC0W,548.7648902821317
302,ASRP,540.9123036649214
226,XGII,534.4882445141066
973,EHLT,531.8967741935484
483,X03B,530.3001567398119
1005,10A1,528.0926070038911
904,AFID,527.3217115689382
50,EUN8,523.9992211838006
218,T1EU,522.7439330543933
672,H4ZC,520.6161776367962
217,TRD1,520.0659072416599
390,LGGE,517.2165397170838
780,ASRY,512.9254901960784
72,EHBD,505.3781990521327
464,XG7S,504.5752351097179
219,XDCC,504.46268656716416
562,LASI,502.94708171206224
495,EL4M,502.05956112852664
159,V3CD,500.25825242718446
670,LYXI,499.031906614786
552,FLXD,494.90102929532856
986,SC0Q,492.8158307210031
907,CBUW,491.010989010989
1010,G1CE,488.9811320754717
65,LYXC,488.12852664576803
593,UIMI,474.2947702060222
553,FLXX,472.061757719715
542,BBEG,471.16457680250784
955,WNDY,469.3380281690141
396,EHDL,462.03579766536967
781,ASRW,459.2748091603053
965,STXH,454.7443181818182
406,LMWE,454.6980198019802
1017,WTD7,452.02929532858275
630,SPYE,450.59635210150674
926,LADR,449.358024691358
114,4UBF,447.2283901665345
385,LGGA,435.3028322440087
383,V3PL,431.8450184501845
161,LGQA,425.85
262,XDUD,421.72727272727275
580,CASH,418.2218700475436
765,SPFW,417.85343511450384
1013,WBKN,413.29557522123895
948,THNZ,410.705467372134
669,18MK,409.78988326848247
903,ZPD3,403.6813559322034
978,SC00,398.3158307210031
680,HJAP,395.47984395318593
842,AFIA,393.50272373540855
469,GACB,393.0396510705789
637,XZEC,392.17727272727274
308,EHDV,387.73396674584325
628,SC0E,385.01097178683386
632,UIMF,381.7643362136685
445,X1GD,377.25525291828797
696,DBX8,372.5091197462331
831,VZLA,368.5846279640229
828,PM9K,368.166270783848
554,CLTC,367.9891891891892
402,ASRM,359.359477124183
693,CEBJ,354.3145800316957
782,LYPD,345.6792156862745
836,21XP,340.18688524590164
807,LYS4,338.19844357976655
974,LIGS,337.0086956521739
75,10AU,332.40342679127724
673,SC0I,328.2507836990596
147,LYX8,328.1831683168317
857,QVMP,324.37688044338876
641,AMEE,323.09027237354087
808,LYS5,320.62568093385215
543,JE13,314.13098039215686
1011,G1CD,311.7857142857143
579,C024,311.6332574031891
635,DXSG,308.2554858934169
897,ZPD6,304.96375990939976
800,MWSH,303.1543756145526
334,ASRV,300.038062283737
447,X13G,299.336186770428
967,E6BR,279.84615384615387
299,ASRZ,279.2275574112735
162,LYXU,273.76271186440675
833,VDOT,271.8490099009901
561,BBUD,267.3624107850912
969,OSX6,261.42334630350194
413,REAL,251.05836575875486
944,XNZE,246.82657342657342
233,QUEU,246.12062256809338
565,HP2A,242.19126506024097
68,MTDD,240.15334572490707
953,USTP,239.25940438871473
747,XCUD,234.78464818763325
947,JPCE,232.13387978142077
714,GNAZ,229.76420233463034
60,NADB,227.34479553903347
582,CNUA,219.9811320754717
618,AW1H,216.20493827160493
509,OG35,215.12972508591065
936,PR1W,214.33333333333334
484,DBXF,213.21238244514106
137,AHYF,211.59344262295082
247,WTRE,210.33333333333334
548,AHYA,209.18408736349454
487,X03C,207.76880877742946
231,VLUS,205.9182879377432
987,SC0Z,183.59952978056427
66,EGV7,180.39591078066914
303,BJLA,177.54279749478079
359,6RQ0,176.54790182106098
698,CEBG,175.6917591125198
746,UBUR,174.53169572107765
143,B8TD,171.45081967213116
198,IBC5,171.16864608076008
979,SC02,170.25313479623824
354,UIM3,168.3293650793651
407,LMWU,166.0456852791878
650,ESGX,165.39744952178535
286,C030,158.59072741806554
824,DBX7,132.81378763866877
333,H41A,114.40994854202401
705,BCFB,107.6360153256705
568,XGEN,107.20603015075378
945,XNZW,93.92296718972896
139,8OUU,88.42105263157895
11,JCHE,81.54380664652568
570,XG12,75.7246963562753
611,ZPRE,73.695479777954
619,LGWT,73.13461538461539
301,BJLB,69.50617283950618
810,REUS,61.77902621722846
489,XLIQ,61.19827586206897
298,ASR1,59.03757828810021
229,EDEU,58.1579766536965
232,VLUD,55.27137546468401
572,XDGI,46.902542372881356
571,SDG9,45.185110663983906
581,CNAA,29.38656195462478
280,AHYI,23.479166666666668
772,X136,14.621134020618557
248,WTER,11.119887165021156
1009,UC90,4.205223880597015
296,BJLC,2.9561586638830897
784,7H60,0.02458366375892149
213,ZPR1,0.0
